Date,Days Since Start,close,open,high,low,volume,dividend
2016-12-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2016-12-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2016-12-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2016-12-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-01-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-02-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-03-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-04-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-05-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-06-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-07-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-08-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-09-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-10-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-11-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2017-12-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-01-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-02-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-03-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-20,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-26,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-27,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-04-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-02,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-03,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-09,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-10,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-16,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-17,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-21,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-22,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-23,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-24,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-25,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-28,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-29,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-30,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-05-31,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-01,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-04,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-05,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-06,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-07,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-08,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-11,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-12,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-13,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-14,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-15,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-18,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
2018-06-19,2737.0,166.9,166.9,166.9,166.9,1000000.0,0.0
